Area,Room,Parking,Warehouse,Elevator,Address
100,2,False,False,False,Shahrake Qods
140,1,False,False,False,Shahryar
70,2,True,True,True,Northern Janatabad
60,2,True,True,False,West Ferdows Boulevard
76,2,True,True,True,North Program Organization
148,3,True,True,True,Daryan No
75,2,True,True,True,North Program Organization
40,1,True,True,False,Pirouzi
65,2,True,True,True,Southern Program Organization
140,3,True,True,True,Rudhen
110,2,True,True,True,West Pars
70,2,True,False,True,Afsarieh
128,3,True,True,True,Marzdaran
94,2,True,True,True,Parand
67,1,True,True,True,Punak
75,1,True,True,True,Shahrake Qods
40,0,False,False,False,Shahrake Qods
97,2,True,True,True,Pardis
110,2,True,True,True,Shahran
150,3,True,True,True,Sadeghieh
75,2,False,False,False,Chahardangeh
137,3,True,True,True,ShahrAra
85,2,True,True,True,Parand
68,2,False,True,False,Pakdasht
78,2,False,True,False,Baqershahr
85,2,True,True,True,Parand
100,2,True,True,False,Parand
71,2,True,True,True,Punak
140,3,True,True,True,Gisha
136,3,True,True,False,Parand
48,1,False,False,False,Jeyhoon
100,2,True,True,True,Lavizan
82,2,True,False,True,Shams Abad
120,3,True,True,True,Fatemi
139,3,True,True,True,Gisha
110,3,True,True,True,Keshavarz Boulevard
78,2,False,False,True,Parand
79,2,False,False,False,Baghestan
66,2,True,True,True,Salsabil
78,2,True,True,True,Kahrizak
85,2,True,True,True,Shahryar
100,2,True,True,False,Qarchak
80,2,True,True,True,Northren Jamalzadeh
44,1,True,True,False,Salsabil
120,2,True,True,False,Shahryar
50,1,False,True,False,Shahrake Qods
121,3,True,True,False,Ostad Moein
80,2,True,True,True,Azarbaijan
70,2,False,True,True,Bahar
160,1,False,False,False,Qarchak
40,0,False,False,False,Pakdasht
88,2,True,True,True,Railway
141,3,True,True,True,Persian Gulf Martyrs Lake
140,3,True,True,True,Persian Gulf Martyrs Lake
120,2,True,True,True,Persian Gulf Martyrs Lake
66,2,False,True,False,Beryanak
70,2,True,True,True,Punak
75,2,True,False,True,Heshmatieh
70,2,False,True,True,Elm-o-Sanat
95,2,True,True,True,Golestan
127,2,True,True,True,Southern Janatabad
123,3,True,True,True,Shahr-e-Ziba
63,2,True,True,True,Southern Janatabad
90,2,True,True,True,Punak
105,2,True,True,True,Pardis
180,3,True,True,True,Pasdaran
120,3,True,False,True,Pirouzi
65,2,True,True,True,Feiz Garden
158,3,True,True,True,Farmanieh
144,3,True,True,True,Chardivari
144,3,True,True,True,Punak
130,3,True,True,True,Gheitarieh
63,2,True,True,True,Central Janatabad
75,2,True,True,True,East Ferdows Boulevard
88,2,True,False,True,Gholhak
108,2,True,True,True,Pasdaran
117,2,True,True,True,Islamshahr
65,1,True,True,False,Pirouzi
90,2,True,True,True,Central Janatabad
125,2,True,True,True,Heravi
140,3,True,True,True,Heravi
71,2,False,True,True,Hashemi
71,2,False,True,True,Jeyhoon
67,2,True,True,True,Central Janatabad
60,1,True,True,True,Punak
44,1,True,True,False,Andisheh
68,1,True,True,True,Heravi
100,2,True,True,True,Pasdaran
86,2,True,True,True,Pardis
84,2,True,True,True,Pardis
94,2,True,True,True,Heravi
55,1,False,True,False,West Ferdows Boulevard
113,2,True,True,True,Saadat Abad
71,2,True,True,True,Islamshahr
70,2,True,True,False,Dehkade Olampic
106,2,True,True,True,Golestan
114,2,True,True,True,West Pars
100,2,True,True,True,Punak
122,2,True,True,True,Saadat Abad
154,3,True,True,True,Saadat Abad
65,1,True,True,True,Southern Janatabad
124,3,True,True,True,Pirouzi
83,2,True,True,True,Republic
104,2,True,True,True,East Ferdows Boulevard
150,3,True,True,True,Zaferanieh
103,3,True,True,True,West Ferdows Boulevard
48,1,True,True,True,West Ferdows Boulevard
165,3,True,True,True,Gheitarieh
135,2,True,True,False,Gheitarieh
86,2,True,True,True,Saadat Abad
75,2,True,True,True,East Ferdows Boulevard
58,1,True,True,True,East Ferdows Boulevard
82,2,True,True,True,Qazvin Imamzadeh Hassan
58,2,True,True,True,Shahran
101,2,True,True,True,Beryanak
90,2,True,True,True,Niavaran
132,3,True,True,True,Gheitarieh
81,2,True,True,True,Valiasr
166,3,True,True,True,Qalandari
113,2,True,True,True,Pasdaran
100,2,True,True,True,Valiasr
80,2,True,True,True,Central Janatabad
76,2,True,True,True,Jeyhoon
128,3,True,True,True,Punak
140,2,True,True,True,Shahrake Gharb
74,2,True,True,True,Amir Bahador
75,1,True,True,True,Central Janatabad
120,2,True,True,True,Pasdaran
120,2,True,True,True,Pasdaran
85,2,True,True,True,Ekhtiarieh
105,2,True,True,True,Pardis
58,1,True,True,True,Ekbatan
75,2,True,True,True,Parand
62,1,True,True,True,Shahran
93,2,True,True,True,Rudhen
75,2,True,True,True,Islamshahr
86,2,True,True,False,Islamshahr
120,2,True,True,True,Southern Program Organization
95,2,True,True,True,Andisheh
70,2,True,True,False,West Ferdows Boulevard
75,2,True,True,False,East Ferdows Boulevard
81,2,True,False,True,Pardis
65,1,True,True,False,West Ferdows Boulevard
75,2,True,True,True,East Ferdows Boulevard
106,2,True,True,False,East Ferdows Boulevard
115,2,True,True,True,East Ferdows Boulevard
100,2,True,True,True,Shahr-e-Ziba
118,2,True,True,True,East Ferdows Boulevard
116,2,True,True,True,East Ferdows Boulevard
76,2,True,True,True,Shahr-e-Ziba
74,2,True,True,False,East Ferdows Boulevard
96,2,True,True,True,Saadat Abad
87,2,True,True,True,Pardis
43,1,True,True,False,Northern Janatabad
53,1,True,True,True,East Ferdows Boulevard
78,2,True,True,True,Shahr-e-Ziba
55,1,True,True,True,West Ferdows Boulevard
120,2,True,True,False,Saadat Abad
78,2,True,True,True,Southern Janatabad
95,2,True,True,True,Southern Janatabad
115,3,True,True,True,Punak
113,2,True,True,True,Punak
85,2,True,True,True,Punak
140,3,True,True,True,Saadat Abad
90,2,True,True,True,Saadat Abad
63,1,True,False,False,Punak
75,2,True,True,True,Central Janatabad
130,3,True,True,True,Punak
91,2,True,True,True,Punak
121,3,True,True,True,Persian Gulf Martyrs Lake
126,2,True,True,True,East Ferdows Boulevard
110,1,True,True,True,Pasdaran
145,3,True,True,True,Haft Tir
81,2,True,True,True,Shahrake Qods
64,2,True,True,True,Shahr-e-Ziba
112,2,True,True,True,Shahr-e-Ziba
192,3,True,True,True,Marzdaran
164,3,True,True,True,Marzdaran
135,3,True,True,True,Pasdaran
170,3,True,True,True,Mahallati
130,3,True,True,True,Mahallati
84,2,True,True,True,Shahran
82,2,True,True,True,Shahran
60,1,True,True,True,Southern Janatabad
65,1,False,True,True,Southern Janatabad
60,1,True,True,False,Southern Janatabad
63,2,True,True,True,Southern Janatabad
70,2,True,True,True,Southern Janatabad
92,2,True,True,True,Feiz Garden
98,2,True,True,True,Pasdaran
62,1,True,True,True,Southern Janatabad
65,1,True,True,True,Punak
90,2,True,True,True,Ozgol
59,2,True,True,True,Southern Janatabad
63,2,True,True,True,Southern Janatabad
60,2,True,True,True,Southern Janatabad
70,2,True,True,True,Southern Janatabad
60,1,True,True,True,Southern Janatabad
165,3,True,True,True,Pasdaran
65,1,True,True,True,Southern Janatabad
60,1,True,True,True,Southern Janatabad
60,1,True,True,True,Southern Janatabad
86,2,True,True,True,Southern Janatabad
109,2,True,True,True,Heravi
98,2,True,True,False,Narmak
80,2,True,True,True,Central Janatabad
143,3,True,True,True,Gheitarieh
95,2,True,True,True,Saadat Abad
86,2,True,True,True,Punak
160,3,True,True,True,Gheitarieh
74,1,True,True,True,Punak
87,2,True,True,True,Northern Janatabad
82,2,True,True,True,West Ferdows Boulevard
55,1,True,True,True,Shahr-e-Ziba
148,3,True,True,True,Ekhtiarieh
55,1,True,False,True,Shahr-e-Ziba
100,2,True,True,False,Southern Janatabad
55,1,False,True,False,West Ferdows Boulevard
130,3,True,True,True,Central Janatabad
100,2,True,True,True,Gheitarieh
170,2,True,True,True,Farmanieh
80,2,True,True,True,North Program Organization
110,2,True,True,True,Tajrish
101,3,True,True,True,Ekhtiarieh
104,2,True,True,True,Feiz Garden
70,2,True,True,True,Northern Janatabad
76,2,True,True,False,Shahr-e-Ziba
110,2,True,True,True,Feiz Garden
90,2,True,True,True,Feiz Garden
77,2,True,True,True,Shahr-e-Ziba
96,2,True,True,True,Pasdaran
75,1,True,True,True,Central Janatabad
79,2,True,True,True,Abazar
67,1,True,True,True,Saadat Abad
125,2,True,True,True,Shahr-e-Ziba
75,2,True,True,False,Shahr-e-Ziba
75,2,True,True,False,Shahr-e-Ziba
91,2,True,True,True,Saadat Abad
105,2,True,True,True,Parand
66,2,True,True,True,Ostad Moein
86,2,True,True,True,Southern Janatabad
72,2,True,True,False,Northern Janatabad
148,2,True,False,True,Koohsar
84,2,True,True,True,Saadat Abad
128,2,True,True,True,Niavaran
65,1,True,True,True,West Ferdows Boulevard
140,3,True,True,True,Pasdaran
115,2,True,True,True,Ekhtiarieh
105,2,True,True,True,Saadat Abad
87,2,True,True,True,Pardis
75,2,True,True,False,Shahr-e-Ziba
60,1,True,True,True,Persian Gulf Martyrs Lake
68,1,True,True,True,Southern Program Organization
49,1,True,True,True,West Ferdows Boulevard
103,2,True,True,True,Hekmat
55,1,True,True,True,West Ferdows Boulevard
140,3,True,True,True,Punak
82,2,True,True,True,Punak
167,3,True,True,True,Punak
53,1,False,True,False,West Ferdows Boulevard
51,1,False,True,False,West Ferdows Boulevard
54,1,True,True,False,West Ferdows Boulevard
82,2,True,True,True,Sattarkhan
75,2,True,True,True,West Ferdows Boulevard
98,2,True,True,True,West Ferdows Boulevard
75,2,True,True,False,Shahr-e-Ziba
70,1,True,True,True,Niavaran
75,2,True,True,False,Shahr-e-Ziba
64,1,True,True,True,Ekbatan
85,2,True,True,True,Jeyhoon
48,1,False,True,False,Parastar
75,2,True,True,False,Shahr-e-Ziba
75,2,True,True,False,Shahr-e-Ziba
84,2,True,True,True,Pardis
75,2,True,True,False,Shahr-e-Ziba
108,2,True,True,True,Gisha
62,1,True,True,True,Shahr-e-Ziba
70,2,True,True,True,Southern Janatabad
180,3,True,True,True,Pasdaran
135,3,True,True,True,Abazar
75,2,True,True,False,Shahr-e-Ziba
108,2,True,True,True,Farmanieh
91,2,True,True,True,Ekhtiarieh
120,2,True,True,True,Gheitarieh
112,2,True,True,False,Gheitarieh
75,2,True,True,False,Shahr-e-Ziba
123,2,True,True,True,Pirouzi
69,2,True,True,True,Pirouzi
66,1,True,False,True,Pirouzi
80,2,True,True,True,Ostad Moein
44,1,True,True,False,Pirouzi
180,3,True,True,True,East Ferdows Boulevard
164,3,True,True,True,East Ferdows Boulevard
100,2,True,True,True,Shahr-e-Ziba
75,2,True,True,False,Shahr-e-Ziba
126,3,True,True,True,Ostad Moein
85,2,True,True,True,Majidieh
75,2,True,True,False,Shahr-e-Ziba
57,1,False,True,True,Parastar
61,1,False,True,False,Shahr-e-Ziba
79,2,True,True,True,Jeyhoon
68,1,True,True,True,Pirouzi
105,2,True,True,True,Pardis
105,2,True,True,True,Saadat Abad
160,2,True,True,True,Pardis
100,2,True,True,True,Pardis
125,3,True,True,True,Saadat Abad
94,2,True,False,True,Pardis
80,2,False,True,False,Northern Janatabad
75,2,True,False,True,Parastar
99,3,True,True,True,North Program Organization
90,2,True,True,True,Shahr-e-Ziba
129,3,True,True,True,Shahr-e-Ziba
102,2,True,True,False,Parastar
141,3,True,True,True,Pakdasht
96,2,True,True,True,Shahr-e-Ziba
155,3,True,True,True,Heravi
87,2,True,True,True,Gheitarieh
87,2,True,True,True,Gheitarieh
105,2,True,True,True,Gheitarieh
61,1,True,True,True,Shahran
88,2,True,True,True,East Ferdows Boulevard
101,2,True,True,True,West Ferdows Boulevard
160,2,True,True,True,Pardis
130,2,True,True,True,Southern Chitgar
150,3,True,True,True,Karimkhan
144,2,True,True,True,Railway
91,2,True,True,True,Southern Janatabad
68,2,True,True,True,West Ferdows Boulevard
133,3,True,True,True,Rudhen
71,2,True,True,True,Si Metri Ji
64,1,True,True,True,Pardis
132,2,True,True,True,Rudhen
95,2,True,True,True,Abazar
95,2,True,True,True,Abazar
102,2,True,True,True,Abazar
120,2,True,True,True,Abazar
117,3,True,True,True,East Ferdows Boulevard
55,1,True,True,True,Karoon
60,1,True,True,True,Northern Chitgar
85,2,True,True,True,Jeyhoon
80,2,False,True,True,Jeyhoon
54,1,True,True,True,Jeyhoon
57,1,True,True,True,Feiz Garden
101,2,True,False,True,Pirouzi
65,2,True,True,False,Feiz Garden
91,2,True,True,True,Punak
105,2,True,True,True,Pardis
86,2,True,True,True,Central Janatabad
87,2,True,True,True,Pardis
103,2,True,True,True,Shahran
81,2,True,True,True,East Pars
73,2,True,True,True,Feiz Garden
90,2,True,True,True,Northern Chitgar
134,3,True,True,True,Andisheh
60,1,True,True,True,Shahran
51,1,True,True,False,Shahran
108,2,True,True,False,Pardis
86,2,True,True,True,Pardis
110,2,True,True,False,Pardis
88,2,True,True,True,Pardis
85,2,True,True,True,Pardis
100,2,True,True,True,Pirouzi
87,2,True,True,True,Pardis
91,2,True,True,True,Salsabil
87,2,True,True,True,Pardis
170,2,True,True,True,Kook
89,2,True,True,True,Moniriyeh
64,2,True,True,True,Saadat Abad
89,2,True,True,True,Northern Janatabad
135,3,True,True,True,Zaferanieh
75,2,False,False,False,Air force
105,2,True,True,True,Air force
111,2,True,True,True,Saadat Abad
133,3,True,True,True,Sohanak
65,1,True,True,False,Saadat Abad
65,1,False,True,True,Lavizan
112,2,True,True,True,Gheitarieh
147,3,True,True,True,Ekhtiarieh
150,3,True,True,True,Saadat Abad
67,1,True,True,True,Southern Janatabad
66,2,True,True,True,Narmak
75,2,True,True,False,Shahr-e-Ziba
180,3,True,True,True,Aqdasieh
103,2,True,True,True,Saadat Abad
68,1,True,True,True,West Ferdows Boulevard
115,2,True,True,True,Pasdaran
115,2,True,True,True,Andisheh
150,3,True,True,True,Narmak
78,2,True,True,True,Qasr-od-Dasht
100,2,True,True,True,Persian Gulf Martyrs Lake
58,1,True,True,True,Punak
90,2,True,True,True,Punak
48,1,True,True,True,Punak
70,2,True,True,True,Punak
86,2,True,True,True,Punak
79,2,True,True,True,Pardis
88,2,True,True,True,Central Janatabad
64,2,True,True,False,Jeyhoon
135,3,True,True,True,Saadat Abad
50,1,False,True,False,Pirouzi
87,2,True,True,True,Pardis
84,2,True,True,True,Pardis
137,3,True,True,True,Zaferanieh
105,2,True,True,True,Velenjak
145,2,True,True,True,Zaferanieh
84,2,True,True,True,Pardis
84,2,True,True,True,Pardis
84,2,True,True,True,Pardis
80,2,True,True,False,Northern Janatabad
125,2,True,True,True,Kamranieh
65,2,True,True,True,Punak
105,2,True,True,True,Southern Janatabad
93,2,True,True,True,Central Janatabad
110,2,True,True,True,Central Janatabad
95,2,True,True,True,Saadat Abad
128,3,True,True,True,Ekhtiarieh
140,2,True,True,True,Saadat Abad
86,2,True,True,True,Southern Janatabad
70,2,True,True,True,Saadat Abad
173,3,True,True,True,East Ferdows Boulevard
72,2,True,True,True,Southern Janatabad
73,2,True,True,True,Saadat Abad
75,1,True,True,True,Central Janatabad
67,2,True,True,True,West Ferdows Boulevard
68,2,True,True,True,East Ferdows Boulevard
88,2,True,True,True,Pardis
111,2,True,True,True,Saadat Abad
98,2,True,True,False,West Ferdows Boulevard
62,2,True,True,True,West Ferdows Boulevard
80,2,True,True,True,Central Janatabad
162,3,True,True,True,Shahrake Gharb
150,3,True,True,True,Ekhtiarieh
82,2,True,True,True,Pardis
130,3,True,True,True,Pasdaran
76,2,True,True,True,Saadat Abad
96,2,True,True,True,Shahrake Gharb
103,2,True,True,True,Saadat Abad
135,3,True,False,True,Saadat Abad
140,2,True,True,True,Shahrake Gharb
120,2,True,True,True,Shahrake Qods
160,2,True,True,True,Pardis
150,3,True,True,True,Gheitarieh
51,1,False,True,True,Pirouzi
75,1,True,True,True,Ekhtiarieh
180,3,True,True,True,East Ferdows Boulevard
93,2,True,True,True,Shahrake Qods
84,2,True,True,True,Shahrake Qods
92,2,False,True,True,Shahrake Qods
105,2,True,True,True,Shahrake Qods
67,2,True,True,False,Central Janatabad
100,2,True,True,True,Ekhtiarieh
170,3,True,True,True,Pasdaran
162,3,True,True,True,Pasdaran
43,1,True,True,True,Shahran
150,3,True,True,True,Gheitarieh
93,2,True,True,True,Northern Janatabad
60,1,True,True,True,Persian Gulf Martyrs Lake
128,3,True,True,True,Gheitarieh
87,2,True,True,True,Pardis
100,2,True,True,True,Heravi
124,2,True,True,True,Heravi
156,3,True,True,True,Abazar
58,2,True,True,False,Central Janatabad
88,2,True,True,True,Amirieh
61,1,True,True,False,Central Janatabad
87,2,True,True,True,Pardis
121,3,True,True,True,Pardis
105,2,True,True,True,Pardis
100,3,True,True,True,Pardis
105,2,True,True,True,Pardis
69,2,True,True,True,Shahr-e-Ziba
145,3,True,True,True,Heravi
160,3,True,True,True,Velenjak
145,3,True,True,True,Zaferanieh
51,1,False,True,True,Pirouzi
87,2,True,True,True,Pardis
116,2,True,True,True,Dehkade Olampic
95,2,True,True,True,Jeyhoon
75,2,True,True,True,Jeyhoon
86,2,True,True,True,Komeil
95,2,True,True,True,Punak
88,2,True,True,True,Valiasr
93,2,True,True,True,Amir Bahador
70,2,True,True,True,Amirieh
140,3,True,True,True,Saadat Abad
81,2,True,True,True,Central Janatabad
109,2,True,True,True,Shahran
122,2,True,True,True,Aqdasieh
70,1,True,True,True,Central Janatabad
60,1,True,True,True,West Ferdows Boulevard
53,1,True,True,False,East Ferdows Boulevard
45,1,False,False,False,Ostad Moein
58,1,True,True,False,Punak
140,3,True,True,True,Dehkade Olampic
100,2,True,True,True,Kook
96,2,True,True,True,Azadshahr
79,2,True,True,True,East Ferdows Boulevard
125,3,True,True,True,Persian Gulf Martyrs Lake
75,2,True,True,True,Northern Janatabad
145,2,True,True,True,Azadshahr
102,2,True,True,False,Railway
115,2,True,True,True,Zibadasht
140,3,True,True,True,Persian Gulf Martyrs Lake
66,1,True,True,True,Punak
161,3,True,True,True,Persian Gulf Martyrs Lake
102,2,True,True,True,Persian Gulf Martyrs Lake
145,4,True,True,True,Persian Gulf Martyrs Lake
95,2,True,True,True,Shahr-e-Ziba
78,2,True,True,True,Parand
90,2,True,True,True,East Ferdows Boulevard
66,1,True,True,False,Ostad Moein
48,1,True,True,True,Jeyhoon
85,2,True,True,True,Shahran
63,1,True,True,True,Salsabil
105,2,True,True,True,Dehkade Olampic
55,1,True,True,False,Komeil
103,2,True,True,True,Northern Chitgar
155,3,True,True,True,Shahrake Gharb
101,2,True,True,True,Southern Chitgar
106,2,True,True,False,Islamshahr
100,2,True,True,True,Persian Gulf Martyrs Lake
77,2,True,True,True,Shahran
66,2,True,True,True,Central Janatabad
105,3,True,True,True,Shahr-e-Ziba
118,2,True,True,True,Shahran
151,3,True,True,True,Shahrake Qods
86,2,True,True,True,Pardis
85,2,True,True,True,Pardis
86,2,True,True,True,Pardis
86,2,True,True,True,Pardis
75,2,True,True,True,Central Janatabad
46,1,True,True,False,Andisheh
98,2,True,True,True,Pardis
90,2,True,True,True,Zaferanieh
70,2,True,True,True,Southern Janatabad
40,1,True,True,True,Andisheh
58,1,True,True,True,North Program Organization
90,2,True,True,True,Amirabad
78,2,True,True,True,East Ferdows Boulevard
82,2,True,True,True,Dorous
115,3,True,True,True,Gheitarieh
125,2,True,True,True,Dezashib
107,2,True,True,True,Pasdaran
55,1,False,True,False,Karoon
50,1,True,True,True,Salsabil
75,2,True,True,True,Pardis
147,3,True,True,True,Elahieh
97,2,True,True,True,Pardis
145,3,True,True,True,Dezashib
50,1,True,True,False,Narmak
117,2,True,True,True,Heravi
72,1,True,True,False,Andisheh
170,3,True,True,True,Heravi
58,1,True,True,True,West Ferdows Boulevard
57,1,True,True,True,Shahran
115,3,True,True,True,Farmanieh
50,1,True,True,True,Pirouzi
84,2,True,True,False,Parand
78,2,False,True,False,Shahrake Qods
64,2,True,True,False,Andisheh
113,2,True,True,True,Punak
175,3,True,True,True,Heravi
111,2,True,True,True,Heravi
128,3,True,True,True,Heravi
131,2,True,True,True,Saadat Abad
105,3,True,True,True,Heravi
87,2,True,True,True,Pardis
61,2,True,True,False,Salsabil
140,3,True,True,True,Ozgol
185,3,True,True,True,Zargandeh
122,2,True,True,True,Saadat Abad
69,2,True,True,True,Mirdamad
95,2,True,True,True,Punak
90,2,True,True,True,Abbasabad
57,1,True,True,True,Ostad Moein
81,2,True,True,False,Andisheh
94,2,True,True,True,Andisheh
134,2,True,True,True,Kahrizak
74,2,False,False,True,Parand
44,1,True,True,False,Andisheh
100,2,True,True,True,Qasr-od-Dasht
175,3,True,True,True,Shahrake Gharb
54,2,True,True,False,Shahran
96,2,True,True,True,Amirieh
90,2,True,True,True,Karoon
90,2,True,True,True,Shahran
68,2,False,False,False,Karoon
68,2,False,False,False,Karoon
90,2,True,True,True,Shahran
97,2,True,True,True,Punak
78,2,True,True,False,Punak
125,3,True,True,True,Shahran
97,2,True,True,True,Farmanieh
100,2,True,True,True,Farmanieh
63,2,True,True,True,Feiz Garden
57,1,True,True,True,Punak
80,2,True,True,True,Razi
88,2,True,True,True,Razi
94,2,True,True,True,Razi
109,3,True,True,True,Feiz Garden
78,2,True,True,True,Heravi
140,3,True,True,True,Heravi
100,2,True,True,True,Pardis
95,2,True,True,True,Shahr-e-Ziba
85,2,True,True,True,Parand
83,2,True,True,True,East Pars
100,2,True,True,True,Pasdaran
60,2,True,True,True,Pasdaran
82,2,True,True,True,Narmak
150,3,True,True,True,Beryanak
49,1,True,True,False,Islamshahr
77,2,False,False,False,Parand
63,1,True,True,True,Shahr-e-Ziba
125,3,True,True,False,Parand
45,1,True,True,True,East Ferdows Boulevard
135,3,True,True,True,Qalandari
80,2,True,False,True,Qalandari
155,3,True,True,True,Gheitarieh
125,3,True,True,True,Punak
95,2,True,True,True,Qalandari
85,2,True,True,True,Qalandari
110,2,True,True,True,Qalandari
63,1,True,True,True,Shahr-e-Ziba
60,1,True,True,True,Saadat Abad
145,3,True,True,True,Gheitarieh
171,3,True,True,True,Jordan
55,1,True,True,True,East Ferdows Boulevard
140,3,True,True,True,Jordan
147,3,True,True,True,Jordan
83,2,True,True,True,Shahr-e-Ziba
105,2,True,True,True,Pardis
55,1,True,True,True,East Ferdows Boulevard
62,2,True,True,True,Punak
55,1,True,True,True,Persian Gulf Martyrs Lake
75,2,True,True,False,West Ferdows Boulevard
95,2,True,True,True,West Ferdows Boulevard
89,2,True,True,True,Central Janatabad
51,1,True,True,False,Southern Janatabad
145,3,True,True,True,Punak
115,3,True,True,True,Punak
130,3,True,True,True,Shahrake Gharb
62,1,False,True,False,Qasr-od-Dasht
94,2,True,True,True,Shahr-e-Ziba
87,2,True,True,True,Pardis
51,2,False,True,True,Komeil
95,2,True,True,True,Shahr-e-Ziba
80,2,True,True,True,Jeyhoon
145,3,True,True,True,Punak
155,3,True,True,True,Shahrake Gharb
88,2,True,True,True,Ekbatan
94,2,True,True,True,Shahran
89,2,True,True,True,Ekhtiarieh
62,2,True,True,False,Pasdaran
136,3,True,True,True,Punak
60,1,True,True,True,Feiz Garden
120,3,True,True,True,Southern Janatabad
137,3,True,True,True,Pakdasht
160,3,True,True,True,Shahrake Gharb
110,2,True,True,True,Saadat Abad
71,2,True,True,False,Andisheh
155,3,True,True,True,Shahrake Gharb
80,2,True,True,False,Andisheh
84,3,True,True,True,Andisheh
77,2,True,True,True,Gheitarieh
74,2,True,True,True,Shahran
130,3,True,True,True,Shahr-e-Ziba
70,2,True,True,True,Southern Janatabad
75,2,False,True,True,Parand
83,2,True,False,True,Pasdaran
65,1,True,True,True,Central Janatabad
62,1,False,True,False,Qasr-od-Dasht
140,3,True,True,True,Southern Chitgar
102,2,True,True,True,Gheitarieh
138,3,True,True,True,Kahrizak
49,1,True,True,False,Andisheh
48,1,True,True,False,Salsabil
68,2,True,True,False,Pirouzi
128,3,True,True,True,Marzdaran
60,1,True,True,True,Pirouzi
85,2,True,True,True,Northern Janatabad
85,2,True,True,True,Islamshahr
78,2,True,False,False,Islamshahr
38,1,True,True,False,Pirouzi
92,2,True,False,True,Pirouzi
95,2,True,True,True,Shahran
105,3,True,True,True,East Ferdows Boulevard
92,2,False,False,True,Pardis
76,2,True,True,False,West Ferdows Boulevard
85,2,True,True,True,Yaftabad
85,2,True,True,True,Yaftabad
50,1,True,False,True,Ray
78,2,True,True,True,West Ferdows Boulevard
54,1,True,True,True,East Ferdows Boulevard
100,2,True,True,True,Shahr-e-Ziba
100,2,True,True,True,East Ferdows Boulevard
110,3,True,True,True,Jeyhoon
57,1,True,True,True,East Ferdows Boulevard
63,2,True,True,False,Andisheh
100,2,True,True,True,Ostad Moein
80,1,False,True,False,Shahrake Qods
115,2,True,True,True,East Ferdows Boulevard
68,1,True,True,False,West Ferdows Boulevard
75,2,True,True,True,East Ferdows Boulevard
48,1,True,True,False,West Ferdows Boulevard
75,2,True,True,False,West Ferdows Boulevard
115,2,True,True,True,Shahran
